Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS8","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS10","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS11","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS12","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS13","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS14","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS15","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS16","CMP-007-00030-2","Up to date","Vishay","TLMS1100-GS08","Unknown","","","",""
"","BLM21PG300SN1D","Chip Ferrite Bead, 0805, 30O @ 100MHz, 0.014O, , 4A","FB1","CMP-0686-00620-3","Up to date","Murata","BLM21PG300SN1D","Volume Production","Digikey","490-1052-1-ND","0.11","0.11"
"","MIC29302WU","Linear Voltage Regulator IC Positive Adjustable 1 Output 3A TO-263-5","IC2","","","","","","","","",""
"","1725656","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 9 mm, Tail Length 3.5 mm","J1","CMP-2000-05299-1","Up to date","Phoenix Contact","1725656","Volume Production","Mouser","651-1725656","1.67","3.34"
"","2336582-1","PUSH-PUSH NANO SIM CONNECTOR","J2","","","TE Connectivity","2336582-1","Volume Production","Digikey","17-2336582-1CT-ND","2.25","2.25"
"","1932788-1","","J3","","","TE Connectivity","1932788-1","Volume Production","Arrow Electronics","1932788-1","0.7242","0.7242"
"","1725656","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 9 mm, Tail Length 3.5 mm","J5","CMP-2000-05299-1","Up to date","Phoenix Contact","1725656","Volume Production","Mouser","651-1725656","1.67","3.34"
"","MTSW-102-X-X-D-X","","J7","","","","","","","","",""
"","CONREVSMA002-G","RP-SMA Female Right-Angle Through-Hole Mount Connector, Gold","J8","","","Linx","CONREVSMA002-G","Unknown","Digikey","CONREVSMA002-G-ND","3.74","7.48"
"","CONREVSMA002-G","RP-SMA Female Right-Angle Through-Hole Mount Connector, Gold","J9","","","Linx","CONREVSMA002-G","Unknown","Digikey","CONREVSMA002-G-ND","3.74","7.48"
"","796683-9","9 Position Wire to Board Terminal Block Horizontal with Board 0.197 (5.00mm) Through Hole","J11","","","TE Connectivity","796683-9","Volume Production","Digikey","A136648-ND","8.84","8.84"
"","796683-8","","J12","","","TE Connectivity","796683-8","Volume Production","Mouser","571-796683-8","4.28","4.28"
"","LQW15AN47NG00D","Wire Wound RF Inductor 47nH ±2% 210mA 1.08O 0402 (1005)","L1","CMP-06042-006618-1","Up to date","Murata","LQW15AN47NG00D","Not Recommended for New Design","Mouser","81-LQW15AN47NG00D","0.11","0.11"
"","CDRH104RNP-220NC_22uH","Fixed Inductors 22uH 2.5A","L2","","","","","","","","",""
"","61300211121","","P2","CMP-1712-00002-6","Up to date","Wurth Electronics","61300211121","Volume Production","Digikey","732-5315-ND","0.12","0.24"
"","61300211121","","P3","CMP-1712-00002-6","Up to date","Wurth Electronics","61300211121","Volume Production","Digikey","732-5315-ND","0.12","0.24"
"","653002114822","","P4","CMP-1502-00739-2","Up to date","Wurth Electronics","653002114822","Unknown","Farnell","3818290","0.38132","3.81"
"","61300311121","","P5","CMP-1502-01062-3","Up to date","Wurth Electronics","61300311121","Volume Production","Digikey","732-5316-ND","0.12","0.12"
"","0ZCG0050AF2C","PTC RESET FUSE 30V 500MA 1812","PTC_F1","","","","","","","","",""
"","FOD817D3SD","OPTOISOLATOR 5KV TRANSISTOR 4SMD","Q1","CMP-07144-000021-1","Up to date","ON Semiconductor / Fairchild","FOD817D3SD","Volume Production","Digikey","FOD817D3SDCT-ND","0.48","0.48"
"","BSS138","N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3","Q2","","","","","","","","",""
"","MJD50T4G","High Voltage Power Transistor, 3-Pin DPAK, Pb-Free, Tape and Reel","Q3","CMP-1048-00190-1","Up to date","onsemi","MJD50T4G","Volume Production","Mouser","863-MJD50T4G","0.9","1.8"
"","MJD50T4G","High Voltage Power Transistor, 3-Pin DPAK, Pb-Free, Tape and Reel","Q4","CMP-1048-00190-1","Up to date","onsemi","MJD50T4G","Volume Production","Mouser","863-MJD50T4G","0.9","1.8"
"","BSS138","N-Channel 50V 220mA (Ta) 360mW (Ta) Surface Mount SOT-23-3","Q5","","","","","","","","",""
"","TLP290-4(TP,E","OPTOISOLTR 2.5KV 4CH TRANS 16-SO","Q6","CMP-35887-000006-1","Up to date","Toshiba","TLP290-4(TP,E","Volume Production","Digikey","TLP290-4(TPECT-ND","1.54","3.08"
"","FSB560A","FSB560A Bipolar Transistors - BJT NPN Transistor Low Saturation","Q7","CMP-00278-84328379-1","Up to date","ON Semiconductor / Fairchild","FSB560A","Volume Production","Mouser","512-FSB560A","0.62","1.24"
"","TLP290-4(TP,E","OPTOISOLTR 2.5KV 4CH TRANS 16-SO","Q8","CMP-35887-000006-1","Up to date","Toshiba","TLP290-4(TP,E","Volume Production","Digikey","TLP290-4(TPECT-ND","1.54","3.08"
"","FSB560A","FSB560A Bipolar Transistors - BJT NPN Transistor Low Saturation","Q9","CMP-00278-84328379-1","Up to date","ON Semiconductor / Fairchild","FSB560A","Volume Production","Mouser","512-FSB560A","0.62","1.24"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R1","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R2","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R3","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R4","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","Resistor 0R +/- 5% 1206 250 mW","Chip Resistor, 0 Ohm, +/- 5%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)","R5","CMP-009-00002-5","Up to date","Yageo","RC1206JR-070RL","Volume Production","Farnell","9240276","0.01533","0.42936"
"","ERJ-2RKF1910X","","R6","CMP-1011-00427-2","Up to date","Panasonic","ERJ-2RKF1910X","Volume Production","Avnet","53W4258","0.004","0.004"
"","CPF0402B187RE1","","R7","CMP-2002-03161-1","Up to date","TE Connectivity","CPF0402B187RE1","Volume Production","Mouser","279-CPF0402B187RE1","0.29","0.29"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R8","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R9","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 1k +/-1% 0402 100 mW","Chip Resistor, 1 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R10","CMP-009-00009-5","Up to date","Panasonic","ERJ-2RKF1001X","Volume Production","Newark","85Y8051","0.1","0.1"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R11","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","RC0402FR-0710KL","","R12","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R13","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","RC0402FR-0710KL","","R14","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","RC0402FR-0710KL","","R15","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","RC0402FR-0710KL","","R16","CMP-2002-07353-1","Up to date","Yageo","RC0402FR-0710KL","Volume Production","","","",""
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R17","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 4k7 +/-1% 0402 100 mW","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R18","CMP-009-00030-5","Up to date","Panasonic","ERJ-2RKF4701X","Volume Production","Mouser","667-ERJ-2RKF4701X","0.023","0.23"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R19","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R20","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R21","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R22","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 0R 0402 63 mW","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)","R23","CMP-009-00004-5","Up to date","Yageo","RC0402JR-070RL","Volume Production","Newark","98K7493","0.003","0.03"
"","Resistor 10k +/-1% 0402 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R24","CMP-009-00015-5","Up to date","Panasonic","ERJ-2RKF1002X","Volume Production","Newark","64R5248","0.1","0.1"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R25","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
"","Resistor 100K +/-1 % 0402 63 mW","Chip Resistor, 100 kOhms, +/-1 %, 63 mW, -55 to 155 degC, 0402","R26","CMP-009-00168-3","Up to date","Bourns","CR0402-FX-1003GLF","Volume Production","Newark","79AK8869","0.002","0.008"
